======================================================================
Task 11 — Decoder 1 Training Log
======================================================================
Device          : cuda
Max epochs      : 50
Batch size      : 32
Learning rate   : 0.001
ES patience     : 25
Total windows   : 284  (train=228, val=56)
Decoder1 params : 16,698,404

--- Loss Curve ---
  Epoch   1: train=0.256478  val=0.229972
  Epoch   2: train=0.034473  val=0.019597
  Epoch   3: train=0.013267  val=0.030638
  Epoch   4: train=0.009724  val=0.016275
  Epoch   5: train=0.006876  val=0.014143
  Epoch   6: train=0.006726  val=0.009309
  Epoch   7: train=0.006230  val=0.007259
  Epoch   8: train=0.005597  val=0.006863
  Epoch   9: train=0.006052  val=0.006432
  Epoch  10: train=0.006311  val=0.006337
  Epoch  11: train=0.006555  val=0.006291
  Epoch  12: train=0.005885  val=0.006235
  Epoch  13: train=0.005948  val=0.006303
  Epoch  14: train=0.005995  val=0.006238
  Epoch  15: train=0.006194  val=0.006318
  Epoch  16: train=0.005867  val=0.006121
  Epoch  17: train=0.005901  val=0.006079
  Epoch  18: train=0.006545  val=0.006123
  Epoch  19: train=0.005938  val=0.006108
  Epoch  20: train=0.006053  val=0.006066
  Epoch  21: train=0.005360  val=0.006085
  Epoch  22: train=0.005809  val=0.006052
  Epoch  23: train=0.006146  val=0.006044
  Epoch  24: train=0.005594  val=0.006066
  Epoch  25: train=0.005956  val=0.006074
  Epoch  26: train=0.006104  val=0.006076
  Epoch  27: train=0.005369  val=0.006012
  Epoch  28: train=0.005705  val=0.006016
  Epoch  29: train=0.006033  val=0.006007
  Epoch  30: train=0.005860  val=0.006001
  Epoch  31: train=0.006465  val=0.006010
  Epoch  32: train=0.005837  val=0.006014
  Epoch  33: train=0.005691  val=0.006035
  Epoch  34: train=0.005330  val=0.006014
  Epoch  35: train=0.005872  val=0.006001
  Epoch  36: train=0.006011  val=0.006014
  Epoch  37: train=0.005176  val=0.005997
  Epoch  38: train=0.006037  val=0.005984
  Epoch  39: train=0.005580  val=0.005987
  Epoch  40: train=0.005425  val=0.005976
  Epoch  41: train=0.006009  val=0.005974
  Epoch  42: train=0.005654  val=0.005997
  Epoch  43: train=0.005284  val=0.005986
  Epoch  44: train=0.005808  val=0.005989
  Epoch  45: train=0.005671  val=0.005980
  Epoch  46: train=0.005698  val=0.005974
  Epoch  47: train=0.006042  val=0.005974
  Epoch  48: train=0.005621  val=0.005978
  Epoch  49: train=0.005603  val=0.005973
  Epoch  50: train=0.005480  val=0.005976

Epoch 1 train loss : 0.256478
Final train loss   : 0.005480
Loss drop          : 97.9%

--- RMSE per Class (normalized signal domain) ---
  Class 0 (Normal): 0.025283
  Class 1 (Imbalance_20g): 0.060049
  Class 2 (Vert_Misalign_1.27mm): 0.055183
  Class 3 (Overhang_Ball_20g): 0.120373

Checkpoint saved to: results\decoder1.pth
Reconstruction plot: .sisyphus/evidence\task-11-reconstruction.png
